county,office,candidate,party,absentee,early_votes,election_day,votes,district
Benton,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1843,,5002,6845,
Black Hawk,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,7651,,15135,22786,
Boone,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2547,,3560,6107,
Bremer,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2015,,4205,6220,
Buchanan,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1441,,2959,4400,
Buena Vista,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1219,,2552,3771,
Butler,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1284,,2668,3952,
Calhoun,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,876,,1834,2710,
Carroll,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1986,,3690,5676,
Cass,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1418,,2395,3813,
Cedar,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1498,,2911,4409,
Cerro Gordo,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,3468,,6183,9651,
Cherokee,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1333,,1994,3327,
Chickasaw,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1303,,1718,3021,
Clarke,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,783,,1558,2341,
Clay,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1782,,2582,4364,
Clayton,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1521,,2991,4512,
Clinton,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,3387,,5460,8847,
Crawford,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1413,,2166,3579,
Dallas,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,7918,,13271,21189,
Davis,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,725,,1345,2070,
Decatur,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,519,,1353,1872,
Delaware,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1649,,3130,4779,
Des Moines,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2697,,4130,6827,
Dickinson,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2653,,2911,5564,
Dubuque,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,8232,,12300,20532,
Emmet,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,652,,1646,2298,
Fayette,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1535,,2993,4528,
Floyd,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1250,,2116,3366,
Franklin,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,833,,1814,2647,
Fremont,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,707,,1249,1956,
Greene,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,913,,1413,2326,
Grundy,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1134,,2651,3785,
Guthrie,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1044,,2125,3169,
Hamilton,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1320,,2383,3703,
Hancock,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,933,,2324,3257,
Hardin,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1786,,2621,4407,
Harrison,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1129,,2802,3931,
Henry,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1899,,2385,4284,
Howard,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,611,,1439,2050,
Humboldt,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,981,,1816,2797,
Ida,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,584,,1612,2196,
Iowa,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1344,,3155,4499,
Jackson,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1810,,2934,4744,
Jasper,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2872,,5505,8377,
Jefferson,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1247,,1899,3146,
Johnson,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,6683,,11436,18119,
Jones,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1646,,3106,4752,
Keokuk,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,713,,2003,2716,
Kossuth,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1675,,2967,4642,
Lee,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2484,,3489,5973,
Linn,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,13030,,29419,42449,
Louisa,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,744,,1544,2288,
Lucas,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,947,,1388,2335,
Lyon,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1333,,2948,4281,
Madison,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1813,,2941,4754,
Mahaska,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2638,,3369,6007,
Marion,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,3694,,5785,9479,
Marshall,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2839,,4404,7243,
Mills,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1760,,2185,3945,
Mitchell,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,919,,1792,2711,
Monona,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,881,,1675,2556,
Monroe,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,771,,1282,2053,
Montgomery,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,975,,1673,2648,
Muscatine,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,3040,,4495,7535,
O'Brien,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1268,,3204,4472,
Osceola,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,518,,1404,1922,
Page,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1359,,2343,3702,
Palo Alto,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,987,,1333,2320,
Plymouth,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,3108,,4833,7941,
Pocahontas,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,665,,1426,2091,
Polk,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,28675,,53798,82473,
Pottawattamie,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,7308,,11728,19036,
Poweshiek,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1545,,2615,4160,
Ringgold,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,481,,995,1476,
Sac,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,794,,2171,2965,
Scott,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,12925,,19825,32750,
Shelby,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1537,,2000,3537,
Sioux,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,3887,,8953,12840,
Story,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,5248,,11287,16535,
Tama,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1054,,2877,3931,
Taylor,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,523,,1109,1632,
Union,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1284,,1665,2949,
Van Buren,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,517,,1509,2026,
Wapello,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2211,,4102,6313,
Warren,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,5139,,7662,12801,
Washington,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1980,,3209,5189,
Wayne,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,537,,1087,1624,
Webster,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2515,,5212,7727,
Winnebago,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,740,,1986,2726,
Winneshiek,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,2323,,2518,4841,
Woodbury,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,0,,19630,19630,
Worth,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,477,,1566,2043,
Wright,Governor / Lt Gov,Kim Reynolds / Adam Gregg,Rep,1088,,1961,3049,
Adair,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,536,,631,1167,
Adams,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,266,,283,549,
Allamakee,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1120,,1045,2165,
Appanoose,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,866,,968,1834,
Audubon,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,428,,562,990,
Benton,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1414,,3068,4482,
Black Hawk,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,12480,,16779,29259,
Boone,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,2889,,2921,5810,
Bremer,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,2085,,2914,4999,
Buchanan,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1564,,2301,3865,
Buena Vista,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1062,,1587,2649,
Butler,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,671,,1393,2064,
Calhoun,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,525,,939,1464,
Carroll,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1504,,1682,3186,
Cass,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,753,,1133,1886,
Cedar,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1428,,2090,3518,
Cerro Gordo,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,4116,,4895,9011,
Cherokee,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,840,,875,1715,
Chickasaw,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1177,,926,2103,
Clarke,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,571,,709,1280,
Clay,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1268,,1149,2417,
Clayton,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1153,,1825,2978,
Clinton,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,4618,,4429,9047,
Crawford,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,732,,1003,1735,
Dallas,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,8648,,11156,19804,
Davis,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,438,,564,1002,
Decatur,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,350,,658,1008,
Delaware,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1072,,1595,2667,
Des Moines,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,4004,,4034,8038,
Dickinson,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1712,,1422,3134,
Dubuque,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,11376,,9732,21108,
Emmet,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,550,,833,1383,
Fayette,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1430,,2016,3446,
Floyd,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1243,,1569,2812,
Franklin,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,509,,870,1379,
Fremont,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,392,,600,992,
Greene,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,817,,858,1675,
Grundy,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,596,,1279,1875,
Guthrie,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,726,,1012,1738,
Hamilton,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1246,,1314,2560,
Hancock,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,535,,929,1464,
Hardin,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1215,,1474,2689,
Harrison,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,592,,1320,1912,
Henry,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1494,,1502,2996,
Howard,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,560,,862,1422,
Humboldt,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,550,,650,1200,
Ida,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,219,,494,713,
Iowa,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1112,,1854,2966,
Jackson,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1764,,1818,3582,
Jasper,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,3345,,3889,7234,
Jefferson,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,2662,,1088,3750,
Johnson,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,26930,,21828,48758,
Jones,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1473,,2177,3650,
Keokuk,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,430,,864,1294,
Kossuth,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1247,,1341,2588,
Lee,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,3303,,3084,6387,
Linn,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,23430,,33337,56767,
Louisa,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,554,,915,1469,
Lucas,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,505,,667,1172,
Lyon,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,254,,599,853,
Madison,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1374,,1365,2739,
Mahaska,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1233,,1176,2409,
Marion,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,2503,,2746,5249,
Marshall,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,3442,,3653,7095,
Mills,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1090,,1101,2191,
Mitchell,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,767,,937,1704,
Monona,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,493,,678,1171,
Monroe,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,500,,561,1061,
Montgomery,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,524,,696,1220,
Muscatine,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,3305,,3776,7081,
O'Brien,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,362,,934,1296,
Osceola,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,144,,337,481,
Page,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,763,,1076,1839,
Palo Alto,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,631,,767,1398,
Plymouth,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1214,,1503,2717,
Pocahontas,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,376,,586,962,
Polk,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,56470,,63787,120257,
Pottawattamie,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,6338,,7896,14234,
Poweshiek,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,2254,,1744,3998,
Ringgold,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,364,,440,804,
Sac,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,368,,885,1253,
Scott,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,18149,,16998,35147,
Shelby,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,677,,773,1450,
Sioux,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,678,,1277,1955,
Story,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,10994,,14161,25155,
Tama,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,988,,2250,3238,
Taylor,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,244,,515,759,
Union,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,946,,889,1835,
Van Buren,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,270,,569,839,
Wapello,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,2647,,2833,5480,
Warren,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,5445,,5497,10942,
Washington,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,1742,,2004,3746,
Wayne,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,274,,448,722,
Webster,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,2682,,3450,6132,
Winnebago,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,656,,1132,1788,
Winneshiek,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,3067,,1718,4785,
Woodbury,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,0,,15024,15024,
Worth,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,448,,934,1382,
Wright,Governor / Lt Gov,Fred Hubbell/Rita R. Hart,Dem,699,,1089,1788,
Adair,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,15,,34,49,
Adams,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,12,,17,29,
Allamakee,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,39,,51,90,
Appanoose,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,35,,51,86,
Audubon,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,8,,26,34,
Benton,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,46,,180,226,
Black Hawk,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,270,,585,855,
Boone,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,72,,136,208,
Bremer,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,51,,122,173,
Buchanan,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,37,,118,155,
Buena Vista,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,24,,77,101,
Butler,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,24,,57,81,
Calhoun,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,44,,69,113,
Carroll,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,55,,67,122,
Cass,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,20,,65,85,
Cedar,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,38,,94,132,
Cerro Gordo,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,88,,182,270,
Cherokee,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,34,,53,87,
Chickasaw,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,30,,36,66,
Clarke,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,23,,49,72,
Clay,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,24,,71,95,
Clayton,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,47,,56,103,
Clinton,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,85,,135,220,
Crawford,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,31,,45,76,
Dallas,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,162,,448,610,
Davis,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,14,,44,58,
Decatur,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,14,,48,62,
Delaware,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,39,,79,118,
Des Moines,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,65,,136,201,
Dickinson,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,33,,57,90,
Dubuque,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,271,,419,690,
Emmet,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,26,,36,62,
Fayette,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,49,,94,143,
Floyd,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,35,,52,87,
Franklin,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,15,,46,61,
Fremont,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,7,,36,43,
Greene,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,28,,47,75,
Grundy,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,13,,64,77,
Guthrie,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,43,,72,115,
Hamilton,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,28,,61,89,
Hancock,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,22,,51,73,
Hardin,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,43,,71,114,
Harrison,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,24,,80,104,
Henry,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,40,,75,115,
Howard,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,29,,44,73,
Humboldt,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,22,,49,71,
Ida,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,4,,25,29,
Iowa,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,48,,87,135,
Jackson,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,55,,63,118,
Jasper,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,79,,166,245,
Jefferson,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,66,,63,129,
Johnson,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,308,,610,918,
Jones,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,52,,99,151,
Keokuk,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,11,,50,61,
Kossuth,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,28,,70,98,
Lee,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,76,,132,208,
Linn,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,654,,1471,2125,
Louisa,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,14,,32,46,
Lucas,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,20,,38,58,
Lyon,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,8,,29,37,
Madison,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,50,,78,128,
Mahaska,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,45,,91,136,
Marion,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,72,,181,253,
Marshall,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,89,,157,246,
Mills,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,41,,95,136,
Mitchell,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,27,,40,67,
Monona,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,13,,36,49,
Monroe,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,11,,27,38,
Montgomery,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,31,,47,78,
Muscatine,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,81,,185,266,
O'Brien,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,13,,50,63,
Osceola,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,2,,14,16,
Page,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,23,,46,69,
Palo Alto,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,21,,33,54,
Plymouth,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,46,,77,123,
Pocahontas,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,17,,44,61,
Polk,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,1162,,2232,3394,
Pottawattamie,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,212,,448,660,
Poweshiek,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,37,,74,111,
Ringgold,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,4,,22,26,
Sac,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,11,,54,65,
Scott,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,312,,734,1046,
Shelby,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,19,,40,59,
Sioux,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,30,,77,107,
Story,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,228,,619,847,
Tama,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,23,,85,108,
Taylor,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,7,,33,40,
Union,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,39,,52,91,
Van Buren,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,10,,35,45,
Wapello,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,72,,117,189,
Warren,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,109,,309,418,
Washington,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,65,,122,187,
Wayne,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,15,,36,51,
Webster,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,76,,143,219,
Winnebago,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,20,,60,80,
Winneshiek,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,50,,66,116,
Woodbury,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,0,,618,618,
Worth,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,11,,68,79,
Wright,Governor / Lt Gov,Jake Porter/Lynne Gentry,Lib,13,,57,70,
Adair,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,7,,8,15,
Adams,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,4,,5,9,
Allamakee,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,25,,73,98,
Appanoose,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,9,,17,26,
Audubon,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,6,,6,12,
Benton,Governor / Lt Gov,Gary Siegwarth/Natalia Blaskovich,Cwp,9,,60,69,
